Data,Notícia
2024-08-17,"IRB Re (IRBR3) salta mais de 50% e Natura (NTCO3) cai 16% — veja o que foi 
destaque do Ibovespa na semana"
2024-08-17,"Ibovespa sobe 2,5% na semana; dólar cai a R$ 5,46"
2024-08-17,"À beira dos 135 mil pontos: os 3 motivos que levaram o Ibovespa renovar a 
máxima intradia — e o que esperar daqui para frente"
2024-08-17,"O que vai acontecer com os menos de 5% dos acionistas da Cielo (CIEL3) que 
não venderam suas ações para os controladores"
2024-08-17,IRB (IRBR3) salta 52% na semana; o que analistas esperam do cenário?
2024-08-17,"Finance Day reúne líderes para debater negócios e bastidores do 
entretenimento"
2024-08-17,"Elon Musk tira o X (ex-Twitter) do Brasil e coloca a culpa em Alexandre de 
Moraes"
2024-08-17,"Silvio Santos, ícone da TV brasileira, morre aos 93 anos"
2024-08-17,"Corte de preço-alvo da Vale (VALE3) e dividendos de 11 empresas são 
destaque no Money Times; veja as principais manchetes de hoje (17)"
2024-08-16,"Por que o Ibovespa fechou em queda após renovar máxima histórica durante a 
sessão?"
2024-08-16,Ibovespa atinge maior nível no ano: como voltamos ao bom momento na bolsa?
2024-08-16,"Tempo real: Ibovespa (IBOV) interrompe sequência de ganhos, mas avança 2,5% 
na semana; dólar cai a R$ 5,46"
2024-08-16,Ibovespa ultrapassa 134 mil pontos
2024-08-16,"Ibovespa sobe com IBC-Br acima do esperado enquanto ações da Petz disparam; 
dólar cai"
2024-08-16,Os motivos que embalam a alta do Ibovespa rumo à máxima histórica
2024-08-16,Ibovespa: B3 (B3SA3) divulga segunda prévia da carteira do índice
2024-08-16,Ibovespa fecha em queda após 8 altas seguidas e nova máxima histórica
2024-08-16,"Ibovespa sobe 2,56% e dólar cai 0,85% na semana"
2024-08-16,"Ibovespa fecha em baixa após renovar máxima intradiária; Vale (VALE3) cai e 
Petrobras (PETR4) sobe"
2024-08-15,"Ibovespa fecha acima dos 134 mil pontos, com 8ª alta seguida e chega à 
máxima de 2024"
2024-08-15,"Ibovespa sobe e renova maior patamar do ano, com espera por queda de juros 
nos EUA; dólar avança"
2024-08-15,"Ibovespa alcança maior valor em 2024, mas dólar sobe"
2024-08-15,Ibovespa renova máxima histórica
2024-08-15,"Ibovespa está cotado a 133,3 mil pontos"
2024-08-15,"Não se iluda com a máxima histórica do Ibovespa: ‘o índice deveria estar 
flertando com os 180 mil pontos’, diz estrategista-chefe"
2024-08-15,Ibovespa engata 8 altas seguidas: o que explica o otimismo dos investidores?
2024-08-15,Ibovespa decola em 10 dias e bate nova máxima histórica de pontos
2024-08-15,"Ibovespa sobe após o fim da temporada de balanços; Petrobras (PETR4) avança 
e Vale (VALE3) recua"
2024-08-15,"Ibovespa: após bater máxima histórica, quais são os próximos alvos da Bolsa?"
2024-08-14,"Ibovespa fecha acima dos 133 mil pontos, com 7ª alta seguida e maior nível 
do ano"
2024-08-14,"Tempo real: Ibovespa tem 7ª alta consecutiva e alcança os 133 mil pontos, o 
maior nível do ano; dólar sobe a R$ 5,46"
2024-08-14,"Ibovespa tem leve alta nos primeiros negócios com balanços e inflação dos 
EUA no radar; dólar cai"
2024-08-14,"Ibovespa sobe aos 133 mil pontos, maior pontuação do ano; dólar também tem 
alta"
2024-08-14,"Ibovespa sobe pelo 7° pregão seguido e atinge máxima do ano; Petrobras 
(PETR4) avança e Vale (VALE3) recua"
2024-08-14,"Ibovespa está cotado a 132,3 mil pontos"
2024-08-14,Ibovespa crava 7ª alta seguida e encosta no recorde histórico
2024-08-14,"Ibovespa sobe 0,69% e fecha em alta pelo 7º pregão seguido"
2024-08-14,"Ibovespa fecha em alta após dados de inflação nos EUA; Localiza cai 16,8%"
2024-08-14,"A vez da bolsa chegou? Ibovespa fecha no maior nível do ano após flertar 
com máxima histórica; dólar sobe a R$ 5,4693"
2024-08-13,"Ibovespa fecha em alta e volta ao 132 mil, puxado por exterior e setor 
financeiro"
2024-08-13,"Ibovespa atinge maior nível desde janeiro em meio a alívio no sentimento de 
risco global"
2024-08-13,"Tempo real: Ibovespa (IBOV) supera os 132 mil pontos e se aproxima da 
máxima história; dólar cai a R$ 5,44"
2024-08-13,"Ibovespa hoje sobe acima de 132 mil pontos com dados de inflação ao 
produtor nos EUA abaixo do esperado – Tempo Real – Estadão E-Investidor – 
As principais notícias do mercado financeiro"
2024-08-13,Ibovespa fecha em alta pelo 6° pregão seguido; Natura (NTCO3) despenca
2024-08-13,Ibovespa irrompeu os 131 mil pontos
2024-08-13,"Ibovespa sobe 0,98% e vai ao maior patamar desde janeiro; dólar cai pela 6ª 
sessão seguida"
2024-08-13,Ibovespa avança com exterior e tenta manter os 132 mil pontos; dólar cai
