Date,BBAS3.SA,BBDC3.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CMIG4.SA,CPFE3.SA,CPLE6.SA,CSNA3.SA,CYRE3.SA,ELET3.SA,EMBR3.SA,GGBR4.SA,GOAU4.SA,ITSA4.SA,PETR3.SA,PETR4.SA,SBSP3.SA,TRPL4.SA,USIM5.SA,VALE3.SA,VIVT3.SA,WEGE3.SA
2000-06-29 00:00:00,372600,2524539,5064000000,0,36800,917915,0,7584129,2822400,40000,546,301488,3196065,439,2562866,45388800,15392000,3671,89408,2381400,1401600,320,0
2000-06-30 00:00:00,502200,2393394,7068000000,0,160000,921973,0,2521708,11354400,0,633,556154,1845698,155,7283924,67878400,15942400,3459,48904,2700000,724800,354,0
2000-07-03 00:00:00,298800,2196677,6148000000,0,11200,1916997,0,1701477,11520000,80000,1034,276364,1297296,179,8520584,23910400,22694400,2791,100310,2523600,528000,355,0
2000-07-04 00:00:00,739800,6327742,5632000000,0,20800,1456932,0,1995560,11030400,8000,1053,232968,3312527,550,7019962,25280000,21155200,7837,396539,3919950,1670400,134,0
2000-07-05 00:00:00,459000,9180144,7620000000,489754,70400,3474280,0,4344219,13298400,8000,1300,332322,5476653,578,21326062,65740800,40316800,15162,499549,4651200,628800,60,0
2000-07-06 00:00:00,1458000,1278662,6708000000,0,196000,2645278,0,2832795,3564000,0,1364,274080,3719406,566,10302881,42304000,29712000,10112,548154,2288250,2712000,69,0
2000-07-07 00:00:00,959400,4032706,5792000000,1890,64800,2272283,0,4147164,13687200,40000,2028,378002,2274690,865,17130714,59673600,48684800,10469,473347,2444400,33600,76,0
2000-07-10 00:00:00,1247400,5049079,6116000000,0,50400,1475748,0,1640460,6703200,48000,700,119910,4870756,258,15285687,38758400,26758400,6996,97709,1063350,883200,112,0
2000-07-11 00:00:00,844200,3081905,7856000000,0,22400,1270250,14597,2061578,5040000,0,1137,146176,2085993,1481,8059819,38438400,55961600,3676,202020,1662750,168000,75,0
2000-07-12 00:00:00,613800,1508166,4732000000,0,40800,2255312,0,2157605,25847998,104000,1130,212412,2675673,582,11752089,77145600,48240000,4078,164016,4445100,24201600,65,0
2000-07-13 00:00:00,275400,1934387,6424000000,0,37600,1220074,0,715200,5400000,8000,1103,316334,1664371,77,5915159,23372800,28204800,3047,139013,2619000,379200,61,0
2000-07-14 00:00:00,981000,819655,3112000000,0,13600,1047412,0,1189333,12470400,16000,814,478498,1620145,672,5555009,26457600,27990400,1610,116511,1836900,19200,60,0
2000-07-17 00:00:00,239400,2426180,5988000000,0,12000,1561710,0,1933542,5666400,0,1067,300346,2680095,698,8404225,194649600,78153600,4018,78407,2884500,302400,48,0
2000-07-18 00:00:00,327600,6950680,6052000000,0,26400,1843578,0,1291362,4744800,0,1433,368866,2742012,113,10450483,40691200,37033600,3903,48804,2913750,604800,37,0
2000-07-19 00:00:00,558000,6852321,7956000000,0,75200,1094267,0,1307367,4377600,0,1285,520752,381817,264,8301395,41075200,30892800,3793,80008,3310200,0,27,0
2000-07-20 00:00:00,234000,3999920,4084000000,0,43200,1759460,8251,520146,24616799,16000,751,295778,1115969,95,7494011,35980800,37116800,4358,81808,2980350,254400,20,0
